DATE,Open,High,Low,Close*,Adj Close**,Volume
2021-11-24,"4,686.25","4,702.25","4,656.25",4699.00,4699.00,"1,408,571"
2021-11-23,"4,686.00","4,695.50","4,649.00",4688.50,4688.50,"1,872,492"
2021-11-22,"4,701.00","4,740.50","4,674.25",4679.75,4679.75,"1,685,386"
2021-11-19,"4,705.25","4,723.50","4,684.25",4694.50,4694.50,"1,344,893"
2021-11-18,"4,685.25","4,706.50","4,668.00",4701.50,4701.50,"1,168,195"
2021-11-17,"4,696.50","4,701.00","4,679.25",4686.25,4686.25,"1,056,696"
2021-11-16,"4,680.75","4,709.75","4,670.75",4696.00,4696.00,"1,043,587"
2021-11-15,"4,684.75","4,697.50","4,667.00",4679.00,4679.00,"1,047,123"
2021-11-12,"4,647.00","4,685.50","4,643.75",4678.25,4678.25,"1,155,591"
2021-11-11,"4,645.00","4,661.50","4,638.00",4643.00,4643.00,"936,857"
2021-11-10,"4,674.75","4,680.25","4,625.25",4642.00,4642.00,"1,639,098"
2021-11-09,"4,690.75","4,700.50","4,663.25",4678.25,4678.25,"1,289,857"
2021-11-08,"4,678.50","4,707.00","4,676.25",4694.00,4694.00,"1,000,404"
2021-11-05,"4,671.75","4,711.75","4,667.50",4690.25,4690.25,"1,459,142"
2021-11-04,"4,651.50","4,676.25","4,650.75",4673.25,4673.25,"1,169,886"
2021-11-03,"4,621.25","4,657.00","4,613.00",4652.25,4652.25,"1,074,650"
2021-11-02,"4,605.75","4,627.00","4,593.25",4623.50,4623.50,"980,833"
2021-11-01,"4,608.00","4,619.50","4,586.50",4605.75,4605.75,"1,071,118"
2021-10-29,"4,577.00","4,603.50","4,559.25",4597.00,4597.00,"1,418,280"
2021-10-28,"4,548.75","4,589.75","4,545.25",4587.50,4587.50,"1,195,785"
2021-10-27,"4,563.75","4,576.75","4,543.75",4544.50,4544.50,"1,263,181"
2021-10-26,"4,564.75","4,590.00","4,560.75",4565.25,4565.25,"1,257,346"
2021-10-25,"4,528.75","4,566.25","4,522.50",4558.00,4558.00,"1,031,431"
2021-10-22,"4,530.00","4,551.50","4,515.25",4536.50,4536.50,"1,315,668"
2021-10-21,"4,525.00","4,543.25","4,510.25",4541.75,4541.75,"938,565"
2021-10-20,"4,516.00","4,532.25","4,504.00",4528.00,4528.00,"1,006,857"
2021-10-19,"4,475.75","4,517.50","4,471.75",4511.25,4511.25,"1,018,177"
2021-10-18,"4,465.50","4,479.75","4,436.25",4477.50,4477.50,"1,095,216"
2021-10-15,"4,433.00","4,467.50","4,426.25",4462.50,4462.50,"1,185,108"
2021-10-14,"4,354.75","4,437.25","4,354.00",4429.00,4429.00,"1,264,458"
2021-10-13,"4,327.50","4,364.75","4,318.75",4355.00,4355.00,"1,372,482"
2021-10-12,"4,347.75","4,365.00","4,317.25",4340.75,4340.75,"1,295,686"
2021-10-11,"4,381.00","4,407.50","4,344.00",4351.00,4351.00,"1,245,705"
2021-10-08,"4,390.50","4,407.75","4,376.25",4382.25,4382.25,"1,428,160"
2021-10-07,"4,355.25","4,421.50","4,355.00",4390.00,4390.00,"1,406,808"
2021-10-06,"4,334.00","4,357.50","4,273.75",4354.00,4354.00,"2,202,805"
2021-10-05,"4,295.75","4,359.75","4,269.00",4334.00,4334.00,"1,650,217"
2021-10-04,"4,349.00","4,362.00","4,267.50",4291.25,4291.25,"2,135,338"
2021-10-01,"4,301.00","4,365.75","4,260.00",4343.75,4343.75,"2,269,695"
2021-09-30,"4,360.00","4,389.00","4,294.25",4297.75,4297.75,"2,373,423"
2021-09-29,"4,347.50","4,378.75","4,344.25",4349.75,4349.75,"1,815,726"
2021-09-28,"4,429.75","4,442.00","4,334.75",4343.50,4343.50,"2,307,037"
2021-09-27,"4,446.00","4,472.00","4,425.00",4433.00,4433.00,"1,306,188"
2021-09-24,"4,439.00","4,453.00","4,410.75",4445.75,4445.75,"1,182,037"
2021-09-23,"4,386.00","4,455.00","4,385.75",4438.00,4438.00,"1,447,395"
2021-09-22,"4,336.50","4,406.50","4,321.25",4384.00,4384.00,"1,767,853"
2021-09-21,"4,342.50","4,395.75","4,329.25",4343.25,4343.25,"1,941,006"
2021-09-20,"4,411.75","4,418.00","4,293.75",4348.25,4348.25,"2,711,340"
2021-09-17,"4,471.00","4,482.50","4,459.00",4464.33,4464.33,"1,968,041"
2021-09-16,"4,486.00","4,487.50","4,443.00",4474.25,4474.25,"268,026"
2021-09-15,"4,446.75","4,487.50","4,437.50",4481.75,4481.75,"518,985"
2021-09-14,"4,475.50","4,489.50","4,435.00",4444.50,4444.50,"893,788"
2021-09-13,"4,461.00","4,492.75","4,444.75",4469.00,4469.00,"1,534,719"
2021-09-10,"4,491.25","4,518.25","4,456.50",4458.25,4458.25,"1,721,413"
2021-09-09,"4,511.00","4,529.50","4,485.50",4492.25,4492.25,"1,696,301"
2021-09-08,"4,517.50","4,524.75","4,492.00",4512.50,4512.50,"1,606,757"
2021-09-07,"4,533.00","4,548.00","4,510.75",4519.25,4519.25,"1,277,938"
2021-09-03,"4,536.75","4,549.50","4,519.25",4534.50,4534.50,"1,156,146"
2021-09-02,"4,522.50","4,544.00","4,516.00",4535.25,4535.25,"1,016,806"
2021-09-01,"4,527.75","4,540.00","4,519.25",4521.25,4521.25,"1,061,414"
2021-08-31,"4,529.50","4,542.25","4,512.50",4520.50,4520.50,"1,378,199"
2021-08-30,"4,508.75","4,534.50","4,500.75",4525.25,4525.25,"975,807"
2021-08-27,"4,470.00","4,510.00","4,462.25",4505.50,4505.50,"1,216,414"
2021-08-26,"4,493.75","4,494.25","4,465.00",4466.50,4466.50,"1,306,718"
2021-08-25,"4,483.50","4,498.00","4,476.25",4493.00,4493.00,"801,106"
2021-08-24,"4,481.00","4,492.00","4,476.75",4482.50,4482.50,"787,503"
2021-08-23,"4,435.00","4,485.75","4,433.50",4475.50,4475.50,"997,026"
2021-08-20,"4,403.75","4,440.50","4,371.75",4437.00,4437.00,"1,328,852"
2021-08-19,"4,389.75","4,414.75","4,347.75",4401.50,4401.50,"1,924,058"
2021-08-18,"4,436.75","4,449.75","4,381.50",4394.50,4394.50,"1,546,011"
2021-08-17,"4,472.00","4,472.25","4,411.75",4443.50,4443.50,"1,789,568"
2021-08-16,"4,456.25","4,476.50","4,432.50",4474.00,4474.00,"1,239,520"
2021-08-13,"4,455.75","4,463.25","4,451.00",4462.50,4462.50,"789,104"
2021-08-12,"4,440.00","4,456.25","4,430.25",4454.50,4454.50,"850,527"
2021-08-11,"4,429.25","4,443.25","4,420.75",4440.50,4440.50,"1,001,054"
2021-08-10,"4,427.25","4,438.25","4,416.50",4430.00,4430.00,"950,320"
2021-08-09,"4,428.00","4,432.00","4,412.25",4425.75,4425.75,"789,726"
2021-08-06,"4,420.25","4,433.25","4,416.00",4429.50,4429.50,"951,045"
2021-08-05,"4,396.25","4,422.75","4,393.75",4421.50,4421.50,"763,343"
2021-08-04,"4,409.75","4,415.00","4,391.25",4394.75,4394.75,"1,047,251"
2021-08-03,"4,383.75","4,417.00","4,365.25",4415.00,4415.00,"1,296,856"
2021-08-02,"4,396.50","4,419.75","4,377.25",4379.75,4379.75,"1,193,301"
2021-07-30,"4,394.25","4,405.00","4,370.75",4389.50,4389.50,"1,376,982"
2021-07-29,"4,393.75","4,422.50","4,380.50",4411.75,4411.75,"1,009,496"
2021-07-28,"4,380.00","4,407.75","4,377.50",4393.75,4393.75,"1,221,313"
2021-07-27,"4,415.75","4,416.00","4,364.75",4394.50,4394.50,"1,575,473"
2021-07-26,"4,400.50","4,416.75","4,375.50",4414.25,4414.25,"938,628"
2021-07-23,"4,371.50","4,408.25","4,367.25",4403.00,4403.00,"1,173,337"
2021-07-22,"4,355.00","4,371.50","4,341.50",4359.50,4359.50,"981,969"
2021-07-21,"4,318.75","4,355.25","4,310.00",4350.50,4350.50,"1,191,429"
2021-07-20,"4,262.75","4,329.00","4,252.75",4315.50,4315.50,"1,844,380"
2021-07-19,"4,320.00","4,320.75","4,224.00",4251.25,4251.25,"2,599,774"
2021-07-16,"4,347.75","4,368.00","4,314.25",4318.50,4318.50,"1,636,065"
2021-07-15,"4,366.50","4,370.25","4,332.50",4352.00,4352.00,"1,611,726"
2021-07-14,"4,359.50","4,384.50","4,350.00",4367.75,4367.75,"1,308,582"
2021-07-13,"4,377.00","4,383.75","4,356.50",4361.25,4361.25,"1,249,893"
2021-07-12,"4,362.00","4,379.25","4,341.75",4376.50,4376.50,"1,055,739"
2021-07-09,"4,310.25","4,364.00","4,293.25",4360.00,4360.00,"1,311,506"
2021-07-08,"4,352.25","4,352.25","4,279.25",4313.00,4313.00,"1,991,636"
2021-07-07,"4,328.00","4,353.25","4,320.25",4349.75,4349.75,"1,221,078"
2021-07-06,"4,341.00","4,348.00","4,305.25",4334.00,4334.00,"1,368,133"
2021-07-02,"4,309.75","4,347.00","4,308.00",4342.75,4342.75,"999,780"
2021-07-01,"4,294.25","4,312.00","4,286.00",4310.75,4310.75,"985,190"
2021-06-30,"4,284.75","4,294.25","4,269.25",4288.50,4288.50,"1,100,062"
2021-06-29,"4,280.50","4,291.00","4,271.75",4282.00,4282.00,"741,471"
2021-06-28,"4,275.00","4,282.00","4,264.25",4280.50,4280.50,"823,723"
2021-06-25,"4,262.00","4,276.75","4,253.50",4271.25,4271.25,"906,160"
2021-06-24,"4,233.75","4,263.75","4,231.75",4256.00,4256.00,"878,788"
2021-06-23,"4,237.50","4,248.25","4,230.50",4231.50,4231.50,"938,299"
2021-06-22,"4,219.25","4,245.50","4,205.75",4236.25,4236.25,"1,063,749"
2021-06-21,"4,142.50","4,219.75","4,126.75",4213.75,4213.75,"1,425,623"
2021-06-18,"4,225.75","4,231.00","4,183.75",4187.25,4187.25,"1,951,342"
2021-06-17,"4,214.25","4,232.50","4,193.00",4222.25,4222.25,"326,193"
2021-06-16,"4,248.00","4,251.25","4,200.75",4223.00,4223.00,"511,740"
2021-06-15,"4,255.25","4,267.50","4,238.00",4246.50,4246.50,"981,189"
2021-06-14,"4,248.00","4,257.50","4,233.50",4254.75,4254.75,"1,116,773"
2021-06-11,"4,239.50","4,247.75","4,230.75",4245.75,4245.75,"1,084,830"
2021-06-10,"4,222.25","4,249.00","4,207.00",4238.00,4238.00,"1,563,728"
2021-06-09,"4,225.50","4,235.00","4,217.00",4218.50,4218.50,"1,057,216"
2021-06-08,"4,227.50","4,236.75","4,205.75",4225.75,4225.75,"1,305,814"
2021-06-07,"4,232.25","4,232.50","4,214.00",4225.50,4225.50,"934,681"
